configuration,d,cv_auroc_mean,cv_auroc_se,test_auroc,test_auprc,delta_vs_full
Full model,80,0.9520223211515316,0.0019228276231788362,0.9480024005486969,0.8924071220796562,0.0
-GO freq,6,0.8265261500118993,0.005600393778632392,0.8376200274348422,0.7687989298598543,-0.11038237311385468
-Jaccard,76,0.930724750199421,0.002090279624153912,0.9268689986282579,0.8527491035367205,-0.021133401920439
-Size,78,0.9449593317100801,0.0019310981286459563,0.9396862139917695,0.8808217173491063,-0.00831618655692734
GO freq only,74,0.9211126311517944,0.0023706980811061444,0.9072359396433471,0.8253892569825736,-0.040766460905349744
Jaccard only,4,0.7908964213399697,0.006579269038007292,0.7996827846364883,0.7144734505349826,-0.14831961591220855
Size only,2,0.5115670040772496,0.006561349252134865,0.4684713648834019,0.3031009269201811,-0.479531035665295
Cumul: Size,2,0.5115670040772496,0.006561349252134865,0.4684713648834019,0.3031009269201811,-0.479531035665295
Cumul: +Jaccard,6,0.8263183217442882,0.005764501193434237,0.8407064471879288,0.7676118003216305,-0.10729595336076814
Cumul: +GO freq,80,0.9520223211515316,0.0019228276231788362,0.9480024005486969,0.8924071220796562,0.0
