seed,probe_type,source_pathway_id,source_database,source_family,source_size,probe_size,keep_fraction,gene_ids,model_score
42,pure_partial_boundary_probe,ath01230,KEGG,Amino acid metabolism,242,153,0.6322314049586777,"AT1G07780,AT1G08250,AT1G09780,AT1G09795,AT1G10060,AT1G12230,AT1G15710,AT1G16300,AT1G18500,AT1G18640,AT1G22170,AT1G23310,AT1G24807,AT1G24909,AT1G25220,AT1G29410,AT1G31180,AT1G31230,AT1G31860,AT1G32380,AT1G32440,AT1G32480,AT1G48470,AT1G48860,AT1G50090,AT1G50110,AT1G54340,AT1G55880,AT1G55920,AT1G56190,AT1G58080,AT1G63290,AT1G70580,AT1G71100,AT1G71920,AT1G72330,AT1G74040,AT1G78050,AT1G79530,AT1G79550,AT1G80560,AT1G80600,AT2G01140,AT2G01290,AT2G04400,AT2G05710,AT2G13810,AT2G17265,AT2G17640,AT2G19940,AT2G21330,AT2G22250,AT2G22480,AT2G29560,AT2G30970,AT2G31810,AT2G36530,AT2G37500,AT2G44530,AT2G45290,AT2G45440,AT3G01850,AT3G02020,AT3G03630,AT3G03780,AT3G04050,AT3G04120,AT3G04790,AT3G04940,AT3G06350,AT3G10050,AT3G12780,AT3G13110,AT3G14390,AT3G17390,AT3G19480,AT3G22425,AT3G22460,AT3G23940,AT3G29200,AT3G44720,AT3G47340,AT3G48560,AT3G49160,AT3G49680,AT3G52930,AT3G52990,AT3G54640,AT3G55810,AT3G55870,AT3G57050,AT3G57560,AT3G58610,AT3G58740,AT3G58750,AT3G59890,AT3G60100,AT3G60880,AT4G01850,AT4G08870,AT4G08900,AT4G14880,AT4G14910,AT4G17830,AT4G19710,AT4G24830,AT4G26270,AT4G26970,AT4G27070,AT4G31990,AT4G32520,AT4G33510,AT4G33680,AT4G35260,AT4G35630,AT4G35640,AT4G35650,AT4G35830,AT4G39120,AT4G39540,AT5G03290,AT5G03690,AT5G05590,AT5G05730,AT5G08570,AT5G10870,AT5G10920,AT5G11520,AT5G11880,AT5G13280,AT5G14800,AT5G16290,AT5G16570,AT5G17920,AT5G19550,AT5G20980,AT5G26780,AT5G28030,AT5G34930,AT5G35630,AT5G37600,AT5G44520,AT5G47810,AT5G48220,AT5G52920,AT5G56350,AT5G56630,AT5G56760,AT5G61580,AT5G63680,AT5G63890,AT5G65780,AT5G66120",0.9620316624641418
42,pure_partial_boundary_probe,AC_PWY-2261,AraCyc,Other AraCyc,15,11,0.7333333333333333,"AT1G75270,AT1G77370,AT1G77490,AT3G09640,AT4G08390,AT4G08550,AT4G09010,AT4G32320,AT4G35000,AT4G35970,AT5G16710",0.9959119558334351
42,pure_partial_boundary_probe,AC_PWY66-385,AraCyc,Specialized/other biosynthesis,12,8,0.6666666666666666,"AT1G22020,AT1G36370,AT2G16370,AT4G13890,AT4G13930,AT4G24380,AT4G34570,AT4G37930",0.9877316355705261
42,pure_partial_boundary_probe,AC_PWY-3461,AraCyc,Amino acid metabolism,5,5,1.0,"AT1G69370,AT2G22250,AT3G29200,AT5G10870,AT5G34930",0.9800209403038025
42,pure_partial_boundary_probe,ath00770,KEGG,Cofactor/vitamin metabolism,34,17,0.5,"AT1G12350,AT1G44170,AT1G50090,AT1G60440,AT2G27490,AT2G43020,AT3G11470,AT3G17810,AT3G48560,AT3G59050,AT3G61530,AT4G29680,AT4G36250,AT5G12200,AT5G16290,AT5G48840,AT5G64370",0.2254038006067276
42,pure_partial_boundary_probe,AC_PWY-2582,AraCyc,Specialized/other biosynthesis,7,5,0.7142857142857143,"AT3G13730,AT3G50660,AT4G36380,AT5G05690,AT5G38970",0.9970148801803589
42,pure_partial_boundary_probe,ath03460,KEGG,Other KEGG/cellular,46,28,0.6086956521739131,"AT1G20750,AT1G35530,AT1G67500,AT1G78790,AT2G06510,AT2G21800,AT2G22140,AT2G24490,AT2G32000,AT2G45280,AT3G05090,AT3G52630,AT4G02460,AT4G09140,AT4G14970,AT4G18590,AT4G30870,AT4G35740,AT5G01630,AT5G20850,AT5G39770,AT5G40820,AT5G41150,AT5G44740,AT5G44750,AT5G63540,AT5G63920,AT5G65740",0.9551833271980286
42,pure_partial_boundary_probe,AC_THISYNARA-PWY,AraCyc,Cofactor/vitamin metabolism,9,7,0.7777777777777778,"AT1G02880,AT1G67440,AT2G29630,AT2G44750,AT4G29530,AT5G19460,AT5G19470",0.5236808657646179
42,pure_partial_boundary_probe,AC_PWY-3561,AraCyc,Specialized/other biosynthesis,11,7,0.6363636363636364,"AT1G13560,AT1G52570,AT1G55180,AT2G32260,AT4G11840,AT4G15130,AT5G25370",0.9408285617828369
42,pure_partial_boundary_probe,ath00531,KEGG,Degradation/catabolism,9,7,0.7777777777777778,"AT1G05590,AT1G65590,AT3G55260,AT5G07830,AT5G13690,AT5G34940,AT5G61250",0.5912579298019409
42,pure_partial_boundary_probe,AC_ARO-PWY,AraCyc,Specialized/other biosynthesis,10,6,0.6,"AT1G48850,AT1G48860,AT2G21940,AT2G45300,AT4G39540,AT4G39980",0.9948888421058655
42,pure_partial_boundary_probe,AC_PWY-6754,AraCyc,Degradation/catabolism,6,5,0.8333333333333334,"AT1G49820,AT4G24340,AT4G24350,AT4G28940,AT4G38800",0.9891712069511414
42,pure_partial_boundary_probe,ath00290,KEGG,Amino acid metabolism,21,16,0.7619047619047619,"AT1G10060,AT1G18500,AT1G31180,AT1G50110,AT1G74040,AT2G31810,AT2G43090,AT2G43100,AT3G10050,AT3G23940,AT3G48560,AT3G49680,AT3G58610,AT4G13430,AT5G14200,AT5G65780",0.9970808625221252
42,pure_partial_boundary_probe,AC_PWY-2463,AraCyc,Specialized/other biosynthesis,9,5,0.5555555555555556,"AT1G66540,AT3G28740,AT4G34540,AT4G37320,AT4G37370",0.9202868342399597
42,pure_partial_boundary_probe,AC_PWY-6733,AraCyc,Specialized/other biosynthesis,40,24,0.6,"AT1G01280,AT1G20560,AT1G62940,AT1G69500,AT1G77590,AT2G27690,AT2G29590,AT2G30720,AT2G45970,AT2G47240,AT2G47245,AT3G05970,AT3G11980,AT3G16175,AT3G44550,AT3G56700,AT3G60060,AT4G00360,AT4G11030,AT4G23850,AT4G33790,AT5G22420,AT5G27600,AT5G48370",0.8197584748268127
42,pure_partial_boundary_probe,ath04145,KEGG,Other KEGG/cellular,87,60,0.6896551724137931,"AT1G04820,AT1G08450,AT1G09210,AT1G20010,AT1G20090,AT1G20260,AT1G22740,AT1G34260,AT1G50010,AT1G52280,AT1G60490,AT1G64200,AT1G71010,AT1G75780,AT1G75840,AT1G78720,AT2G16510,AT2G17800,AT2G18710,AT2G21410,AT2G21880,AT2G25610,AT2G44690,AT2G45070,AT3G01390,AT3G14270,AT3G18820,AT3G28710,AT3G28715,AT3G42050,AT3G48040,AT3G48570,AT3G51300,AT3G54840,AT3G58730,AT3G60540,AT4G02620,AT4G09720,AT4G11150,AT4G14960,AT4G19640,AT4G20890,AT4G24920,AT4G26710,AT4G28950,AT4G32530,AT4G33240,AT4G34720,AT4G38510,AT4G38920,AT4G39080,AT5G19770,AT5G44340,AT5G45130,AT5G45970,AT5G50460,AT5G55290,AT5G61790,AT5G62700,AT5G62880",0.9603895545005798
