source_family,n_probes,mean_score,sd_score,median_score,iqr_score,pct_score_ge_0_5,pct_score_ge_0_7
ALL,108,0.8313935967205368,0.2765224962305618,0.9713714420795441,0.830-0.993,87.96296296296296,80.55555555555556
Amino acid metabolism,13,0.9072616845369339,0.24685231333702784,0.9800209403038025,0.970-0.993,92.3076923076923,92.3076923076923
Carbohydrate metabolism,5,0.9453872442245483,0.04939288533929314,0.9713432788848877,0.899-0.976,100.0,100.0
Cofactor/vitamin metabolism,7,0.6730088389345578,0.4032716054989188,0.9541775584220886,0.375-0.978,71.42857142857143,57.14285714285714
Degradation/catabolism,14,0.7235461441533906,0.29923982459343135,0.8572242259979248,0.577-0.971,78.57142857142857,57.14285714285714
Energy metabolism,3,0.9897402127583822,0.011305634393613996,0.9934453964233398,0.985-0.996,100.0,100.0
Lipid metabolism,8,0.6822247890522704,0.3420433899647184,0.7947918176651001,0.618-0.878,75.0,75.0
Other AraCyc,9,0.9330162538422478,0.09273619190493815,0.9820110201835632,0.916-0.996,100.0,100.0
Other KEGG/cellular,11,0.80923446606506,0.29416241223936435,0.9603895545005798,0.715-0.982,90.9090909090909,72.72727272727273
Signalling/regulatory,2,0.8529728651046753,0.1789718717544783,0.8529728651046753,0.790-0.916,100.0,100.0
Specialized/other biosynthesis,36,0.8610214539674215,0.27532741623095813,0.987405389547348,0.928-0.997,88.88888888888889,83.33333333333334
