family,n_heldout_pathways,n_test_negatives,n_train_pathways,n_go_selected,D,median_size,median_jaccard,test_auroc,test_auprc,f1,precision,recall,positive_score_median,negative_score_median
Signalling/regulatory,13,26,526,37,43,27.0,0.1466042172911071,0.9053254437869822,0.7541181041181042,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.6573736071586609,0.0327622666954994
Carbohydrate metabolism,31,62,508,39,45,30.0,0.1422329545679787,0.95369406867846,0.9205919433370764,0.8307692307692308,0.7941176470588235,0.8709677419354839,0.935002863407135,0.0218915119767189
Cofactor/vitamin metabolism,29,58,510,38,44,15.0,0.1376893818910625,0.9369797859690844,0.8868165551639837,0.7407407407407407,0.8,0.6896551724137931,0.8350918889045715,0.0105539234355092
Other AraCyc,47,94,492,36,42,12.0,0.2165650571504778,0.956315074694432,0.930405454789064,0.7920792079207921,0.7407407407407407,0.851063829787234,0.9328926205635072,0.021171236410737
Amino acid metabolism,60,120,479,36,42,18.0,0.1750878116996222,0.9555555555555556,0.9313808314129906,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.9620565176010132,0.0265806354582309
Specialized/other biosynthesis,160,320,379,34,40,12.0,0.2174034314281567,0.933671875,0.863629941260595,0.7788778877887789,0.8251748251748252,0.7375,0.898948609828949,0.0234372653067111
Lipid metabolism,50,100,489,40,46,14.0,0.1736998953591829,0.9608,0.9084707885855834,0.8571428571428571,0.8181818181818182,0.9,0.8874409794807434,0.017518738284707
Energy metabolism,15,30,524,43,49,39.0,0.1389585029938484,0.9444444444444444,0.9018863397810766,0.7878787878787878,0.7222222222222222,0.8666666666666667,0.8976130485534668,0.0154616245999932
Degradation/catabolism,76,152,463,39,45,11.0,0.1655613400098443,0.9225242382271468,0.8657246786677004,0.7755102040816326,0.8028169014084507,0.75,0.8587679862976074,0.0139753138646483
Other KEGG/cellular,58,116,481,39,45,62.0,0.131898948943775,0.8952140309155767,0.8209048142334094,0.6972477064220184,0.7450980392156863,0.6551724137931034,0.8596323728561401,0.04377911239862442
