seed,candidate,n,score,max_jaccard,closest_by_jaccard,max_overlap_fraction,closest_by_overlap,ora_significant,best_ora_p_adj,novel
1,C1,17,0.9876256585121155,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
1,C2,11,0.9805173277854919,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
1,C3,14,0.9934567809104919,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
1,C4,9,0.0002725241065490991,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
2,C1,17,0.9787225127220154,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
2,C2,11,0.957342803478241,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
2,C3,14,0.9990423321723938,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
2,C4,9,0.0009404388256371021,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
3,C1,17,0.9407618641853333,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
3,C2,11,0.8785364031791687,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
3,C3,14,0.9977110624313354,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
3,C4,9,0.0014565462479367852,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
4,C1,17,0.9770620465278625,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
4,C2,11,0.9002844095230103,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
4,C3,14,0.992728590965271,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
4,C4,9,0.0006695699412375689,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
5,C1,17,0.880584180355072,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
5,C2,11,0.710010826587677,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
5,C3,14,0.9962270259857178,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
5,C4,9,0.0005058944807387888,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
6,C1,17,0.9971152544021606,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
6,C2,11,0.9915836453437805,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
6,C3,14,0.9961430430412292,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
6,C4,9,0.000873326906003058,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
7,C1,17,0.9905238747596741,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
7,C2,11,0.9377926588058472,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
7,C3,14,0.9900789260864258,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
7,C4,9,0.0014440810773521662,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
8,C1,17,0.9699013829231262,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
8,C2,11,0.6459790468215942,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
8,C3,14,0.9808188080787659,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
8,C4,9,0.0016559975920245051,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
9,C1,17,0.814259946346283,0.21739130434782608,glutathione-peroxide redox reactions,0.4117647058823529,Glutathione metabolism,True,1.187532720848621e-11,False
9,C2,11,0.9941001534461975,0.14285714285714285,Photosynthesis,1.0,Photosynthesis,True,2.1734355446356876e-26,False
9,C3,14,0.9949705004692078,0.08588957055214724,Ubiquitin mediated proteolysis,1.0,Ubiquitin mediated proteolysis,True,2.0794218670325666e-29,False
9,C4,9,0.0006420011050067842,0.03571428571428571,starch biosynthesis,0.5555555555555556,Starch and sucrose metabolism,True,7.861010511613847e-07,False
