seed,model,n_go_selected,D,n_train,n_test,cv_auroc_mean,cv_auroc_std,cv_auroc_se,cv_auprc_mean,cv_auprc_std,test_auroc,test_auprc,test_f1,test_precision,test_recall
1,XGBoost,70,76,1293,324,0.9835245733282754,0.008017406727266453,0.003585493289086381,0.9677424264880136,0.01497286089098216,0.9809242112482853,0.956437519072443,0.918918918918919,0.8947368421052632,0.9444444444444444
1,Random Forest,70,76,1293,324,0.9754402356667338,0.007898391480490237,0.0035322680526562746,0.9476956038808823,0.017120657478370604,0.9813528806584362,0.949743209770395,0.9203539823008849,0.8813559322033898,0.9629629629629629
1,Logistic Regression,70,76,1293,324,0.9661601348636198,0.00846580374402054,0.003786022531160431,0.9441817975060698,0.013646332220919665,0.9603909465020576,0.9368368009839464,0.8532110091743119,0.8454545454545455,0.8611111111111112
2,XGBoost,90,96,1293,324,0.9851647008787395,0.0055604065964055295,0.0024866894264202,0.9702051336827653,0.012296749503844566,0.9740655006858709,0.9503611030176985,0.8868778280542986,0.8672566371681416,0.9074074074074074
2,Random Forest,90,96,1293,324,0.9778981173762229,0.007821561926262996,0.0034979088314696515,0.9534673688057523,0.022902313130878794,0.9685356652949245,0.9265791847812135,0.8706896551724138,0.8145161290322581,0.9351851851851852
2,Logistic Regression,90,96,1293,324,0.9666758054164426,0.010141780938603738,0.004535542318325915,0.9454848744767093,0.01691952394627205,0.9477451989026063,0.8991154863836822,0.827906976744186,0.8317757009345794,0.8240740740740741
3,XGBoost,155,161,1293,324,0.9791768093044674,0.00845805977910717,0.0037825593247680974,0.9586900673557757,0.018377058447432208,0.9837962962962963,0.9666091908635169,0.9216589861751152,0.9174311926605505,0.9259259259259259
3,Random Forest,155,161,1293,324,0.9708880306327515,0.011951782473165697,0.005344999612457811,0.9382931735209166,0.02620781501822188,0.9798954046639232,0.9501642363472786,0.8990825688073395,0.8909090909090909,0.9074074074074074
3,Logistic Regression,155,161,1293,324,0.9397823630052627,0.01576939328863763,0.007052287071464541,0.8986077037294228,0.01517951517297345,0.9549039780521261,0.9240404841868485,0.8546255506607929,0.8151260504201681,0.8981481481481481
4,XGBoost,148,154,1293,324,0.9742340105296939,0.011491410268070686,0.005139114903349027,0.9425849713856455,0.02774811217528286,0.9825960219478738,0.9434663282916207,0.9023255813953488,0.9065420560747663,0.8981481481481481
4,Random Forest,148,154,1293,324,0.969367432683087,0.009891703582829954,0.0044237043248972,0.9240599450286757,0.03692492284477742,0.9798096707818931,0.9442213972353654,0.8990825688073395,0.8909090909090909,0.9074074074074074
4,Logistic Regression,148,154,1293,324,0.9459891731372752,0.012593499651884887,0.005631984259246909,0.9027844679379274,0.020886274219645354,0.9530178326474623,0.9244390551360147,0.8476190476190476,0.8725490196078431,0.8240740740740741
5,XGBoost,144,150,1293,324,0.9799695107303996,0.012051667267471958,0.005389669450455287,0.9626046578836303,0.022810909196529384,0.9790809327846366,0.956657286771891,0.9308755760368663,0.926605504587156,0.9351851851851852
5,Random Forest,144,150,1293,324,0.9713323698882965,0.015751076475579728,0.007044095543638815,0.9430858247218087,0.029243874750585024,0.9705075445816186,0.9231006164190066,0.8771929824561403,0.8333333333333334,0.9259259259259259
5,Logistic Regression,144,150,1293,324,0.937126134582118,0.01935681328602538,0.008656630067064765,0.9041380801487844,0.03211070614364166,0.9720507544581619,0.9448152603766399,0.8888888888888888,0.8547008547008547,0.9259259259259259
6,XGBoost,144,150,1293,324,0.9834297461103854,0.005910908274107447,0.002643438541934042,0.9676681847059854,0.009663177647131344,0.9842249657064472,0.9672054787284354,0.905829596412556,0.8782608695652174,0.9351851851851852
6,Random Forest,144,150,1293,324,0.9761994813451823,0.006507322285125558,0.0029101629962080032,0.9522080563685618,0.013560640876832931,0.978866598079561,0.9549548132441954,0.8995633187772926,0.8512396694214877,0.9537037037037037
6,Logistic Regression,144,150,1293,324,0.9645106987782912,0.015231148432510049,0.006811576654096367,0.9409668218703834,0.02613487719175876,0.9483882030178326,0.9033908830165784,0.8412017167381974,0.784,0.9074074074074074
7,XGBoost,147,153,1293,324,0.9849810122777436,0.0063581833099037545,0.002843466018869881,0.9741917829261926,0.008401535570810643,0.9823816872427984,0.9669535834020163,0.8888888888888888,0.8547008547008547,0.9259259259259259
7,Random Forest,147,153,1293,324,0.9740984546538524,0.007054432627902935,0.0031548381797366883,0.9473529245445104,0.013722146679126456,0.9753515089163238,0.9551467980657129,0.8761061946902655,0.8389830508474576,0.9166666666666666
7,Logistic Regression,147,153,1293,324,0.9579074853807852,0.007585613172641189,0.003392389341008709,0.9349325296522147,0.004567990676914678,0.95914780521262,0.9330802568373925,0.8622222222222222,0.8290598290598291,0.8981481481481481
8,XGBoost,150,156,1293,324,0.9786753000857118,0.005401862281357053,0.0024157862532412926,0.951414322182039,0.018765924218548634,0.9829389574759946,0.9670325131396988,0.9315068493150684,0.918918918918919,0.9444444444444444
8,Random Forest,150,156,1293,324,0.970380950846085,0.007334337698331478,0.0032800155326817063,0.9321302991788192,0.024100151481738018,0.974494170096022,0.9437272550749302,0.9026548672566371,0.864406779661017,0.9444444444444444
8,Logistic Regression,150,156,1293,324,0.9464781272428026,0.01111800330597225,0.004972122233244269,0.909905749884172,0.0077501328030140605,0.9680641289437586,0.9373768856138037,0.8436018957345972,0.8640776699029126,0.8240740740740741
9,XGBoost,151,157,1293,324,0.9815174943860425,0.007802994883727311,0.0034896053976194667,0.9640697103040313,0.014957253329569141,0.9854681069958848,0.9748891438047343,0.9049773755656109,0.8849557522123894,0.9259259259259259
9,Random Forest,151,157,1293,324,0.9727238889488377,0.006870138071513856,0.0030724191485428584,0.944792833674909,0.011762806367229357,0.9771947873799726,0.9556583501252374,0.8859649122807017,0.8416666666666667,0.9351851851851852
9,Logistic Regression,151,157,1293,324,0.9516770832064436,0.01728197251041941,0.007728733063716099,0.9201126811219966,0.029489559715680787,0.9564471879286693,0.9247926228799501,0.892018779342723,0.9047619047619048,0.8796296296296297
10,XGBoost,83,89,1293,324,0.9838634302286954,0.007471379022805956,0.0033413022761320135,0.9712354702402551,0.014349037150168137,0.9831104252400549,0.9643732060518246,0.9140271493212669,0.8938053097345132,0.9351851851851852
10,Random Forest,83,89,1293,324,0.9796661658635383,0.01056104504312228,0.004723042925971723,0.9613358272703957,0.020425292697104865,0.9786522633744856,0.951854517942633,0.867579908675799,0.8558558558558559,0.8796296296296297
10,Logistic Regression,83,89,1293,324,0.9682712812852383,0.010238233913265423,0.004578677399921034,0.9447737289288469,0.01664448331020776,0.9605195473251028,0.9321800836632801,0.8636363636363636,0.8482142857142857,0.8796296296296297
11,XGBoost,80,86,1293,324,0.9789354467749977,0.006770023718418923,0.0030276466487341213,0.9617151427809251,0.012466311757344152,0.9790380658436215,0.9600430255461976,0.8968609865470852,0.8695652173913043,0.9259259259259259
11,Random Forest,80,86,1293,324,0.9723471502102873,0.008711828185213755,0.003896048006087317,0.9469693972772516,0.014219339205970358,0.9691358024691358,0.9404081902093482,0.8771929824561403,0.8333333333333334,0.9259259259259259
11,Logistic Regression,80,86,1293,324,0.9597805499879822,0.017232069287179158,0.007706415663823788,0.934334495477714,0.018198819154465164,0.9504029492455418,0.901894747223092,0.852017937219731,0.8260869565217391,0.8796296296296297
12,XGBoost,148,154,1293,324,0.9846917514882426,0.005602995329877188,0.00250573568704385,0.9668845741613804,0.012945483129884496,0.9843535665294925,0.9674920641231743,0.9295774647887324,0.9428571428571428,0.9166666666666666
12,Random Forest,148,154,1293,324,0.9764571450398375,0.007937483440627792,0.0035497505087045316,0.9526849070089808,0.010683750366066664,0.9780949931412894,0.9552522022002632,0.9009009009009009,0.8771929824561403,0.9259259259259259
12,Logistic Regression,148,154,1293,324,0.9455975768559604,0.014859274832814993,0.006645269724505229,0.9093697111362384,0.024787279236748012,0.9731224279835391,0.9418168294403453,0.8544600938967136,0.8666666666666667,0.8425925925925926
13,XGBoost,144,150,1293,324,0.9849547342173441,0.009383853037994735,0.004196586656764829,0.9728773042257126,0.015442920153245691,0.9899262688614541,0.9815087314493761,0.9302325581395349,0.9345794392523364,0.9259259259259259
13,Random Forest,144,150,1293,324,0.9757175971266829,0.010851829426478853,0.0048530856555678535,0.9500482288831489,0.02342915128449493,0.9864111796982168,0.9709139515451346,0.9090909090909091,0.8928571428571429,0.9259259259259259
13,Logistic Regression,144,150,1293,324,0.9596816452329613,0.011566808246651282,0.0051728339044434845,0.9345199371826869,0.01693792818676949,0.9717506858710562,0.9519450269494227,0.868421052631579,0.825,0.9166666666666666
14,XGBoost,149,155,1293,324,0.9807489904794224,0.010214225567640034,0.004567940541351899,0.9593617460532551,0.02389195323596074,0.9883830589849109,0.9707623467257667,0.9459459459459459,0.9210526315789473,0.9722222222222222
14,Random Forest,149,155,1293,324,0.9738785137922447,0.013719073182260327,0.00613535604476569,0.9482886468766736,0.025058835697126896,0.9847822359396433,0.9685304954089369,0.9155555555555556,0.8803418803418803,0.9537037037037037
14,Logistic Regression,149,155,1293,324,0.9535133511627439,0.0154088383542127,0.006891042002865116,0.9170852558618054,0.024098776260869606,0.9768947187928669,0.9524625962270796,0.8868778280542986,0.8672566371681416,0.9074074074074074
15,XGBoost,148,154,1293,324,0.9772144197739225,0.005899932854494079,0.002638530185066627,0.9568929524403027,0.010701116205382716,0.9860253772290809,0.9725124327883371,0.9043478260869565,0.8524590163934426,0.9629629629629629
