sample_id,negative_type,gene_ids,target_size,actual_size,seed,split,source_pathway_id,source_database,source_family,source_pathway_id_1,source_pathway_id_2,source_pathway_id_3,source_family_1,source_family_2,source_family_3,kept_fraction,replaced_fraction,replacement_fraction,n_kept,n_replaced,contribution_fraction_1,contribution_fraction_2,contribution_fraction_3,random_fill_count,max_overlap_with_curated,closest_curated_pathway
TRAIN_NEG_seed42_empirical_size_matched_random_0000,empirical_size_matched_random,"AT3G16750,AT3G53350,AT4G14276,AT4G28340,AT5G40400,AT5G42430",6,6,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0,
TRAIN_NEG_seed42_empirical_size_matched_random_0001,empirical_size_matched_random,"AT1G04100,AT1G05690,AT1G08170,AT1G18400,AT1G21660,AT1G60960,AT1G65990,AT1G79280,AT2G02290,AT2G14500,AT2G18040,AT2G26520,AT2G30860,AT2G36160,AT2G37480,AT2G42060,AT3G06250,AT3G11920,AT3G16730,AT3G17390,AT3G22565,AT3G32330,AT3G44120,AT3G45570,AT3G51050,AT3G55730,AT3G63020,AT4G10530,AT4G17695,AT4G18100,AT4G18197,AT4G26260,AT4G27640,AT4G28670,AT4G33470,AT4G34470,AT4G34580,AT4G36660,AT5G03490,AT5G10560,AT5G14890,AT5G19640,AT5G20470,AT5G21050,AT5G22600,AT5G38710,AT5G40260,AT5G42190,AT5G47950",49,49,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,AC_METHIONINE-DEG1-PWY
TRAIN_NEG_seed42_empirical_size_matched_random_0002,empirical_size_matched_random,"AT1G01310,AT1G05320,AT1G05500,AT1G06130,AT1G07830,AT1G07880,AT1G07940,AT1G11430,AT1G12160,AT1G12770,AT1G13380,AT1G14182,AT1G16340,AT1G17230,AT1G17790,AT1G18070,AT1G22090,AT1G24485,AT1G24560,AT1G25370,AT1G27535,AT1G30330,AT1G30410,AT1G47765,AT1G47885,AT1G47980,AT1G52150,AT1G53165,AT1G55500,AT1G59359,AT1G59630,AT1G60090,AT1G61795,AT1G64160,AT1G65300,AT1G66900,AT1G67370,AT1G73870,AT1G74460,AT1G74900,AT1G76490,AT1G76728,AT1G79810,AT1G80960,AT2G01240,AT2G02250,AT2G03380,AT2G03620,AT2G06960,AT2G07675,AT2G07738,AT2G13845,AT2G14800,AT2G17050,AT2G18330,AT2G20520,AT2G20921,AT2G22050,AT2G26510,AT2G26740,AT2G27120,AT2G27590,AT2G31265,AT2G32960,AT2G33370,AT2G36420,AT2G37560,AT2G37610,AT2G37750,AT2G38695,AT2G39375,AT2G39630,AT2G40590,AT2G41445,AT2G43350,AT2G45650,AT2G45960,AT2G47900,AT3G01170,AT3G01590,AT3G02530,AT3G02650,AT3G02730,AT3G07540,AT3G07840,AT3G08510,AT3G11920,AT3G13570,AT3G13820,AT3G14400,AT3G15290,AT3G16525,AT3G17190,AT3G17930,AT3G18250,AT3G21080,AT3G22670,AT3G24250,AT3G25505,AT3G29645,AT3G30383,AT3G32190,AT3G44050,AT3G44180,AT3G44840,AT3G46930,AT3G50780,AT3G53790,AT3G57040,AT3G57900,AT3G61760,AT4G00960,AT4G01935,AT4G02080,AT4G02870,AT4G04195.1,AT4G04320,AT4G07408,AT4G08875,AT4G10400,AT4G10470,AT4G10810,AT4G10920,AT4G14746,AT4G17020,AT4G17140,AT4G17270,AT4G17560,AT4G18030,AT4G18190,AT4G18610,AT4G19460,AT4G20300,AT4G21580,AT4G22467,AT4G28600,AT4G28820,AT4G29680,AT4G37110,AT4G39280,AT5G03880,AT5G03890,AT5G03980,AT5G04860,AT5G05840,AT5G06600,AT5G07475,AT5G10660,AT5G13090,AT5G13950,AT5G18730,AT5G22330,AT5G22610,AT5G22690,AT5G24200,AT5G26040,AT5G28620,AT5G33210,AT5G34882,AT5G35110,AT5G37200,AT5G37430,AT5G39865,AT5G42220,AT5G44790,AT5G45400,AT5G45875,AT5G47110,AT5G47170,AT5G49460,AT5G51710,AT5G51840,AT5G52430,AT5G56140,AT5G58130,AT5G58190,AT5G59350,AT5G61710,AT5G63280,AT5G63590,AT5G65860",181,181,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,AC_PWY-8148
TRAIN_NEG_seed42_empirical_size_matched_random_0003,empirical_size_matched_random,"AT1G03560,AT1G15360,AT1G79420,AT2G40750,AT2G40935,AT3G61470,AT4G08810,AT5G13930",8,8,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.25,ath01100
TRAIN_NEG_seed42_empirical_size_matched_random_0004,empirical_size_matched_random,"AT1G07795,AT1G10500,AT1G23680,AT1G28530,AT1G32170,AT1G35510,AT1G61300,AT1G72210,AT1G76600,AT1G80950,AT2G29540,AT2G29860,AT2G35930,AT2G42180,AT3G05520,AT3G14240,AT3G17900,AT3G24130,AT3G25600,AT3G28290,AT3G28840,AT3G42850,AT3G49800,AT3G58340,AT3G59660,AT3G63240,AT4G00670,AT4G17695,AT4G28660,AT4G34290,AT4G35140,AT4G36440,AT4G38580,AT5G01960,AT5G04380,AT5G27770,AT5G41420,AT5G51545,AT5G51620,AT5G56620,AT5G59370,AT5G65110",42,42,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.125,ath04820
TRAIN_NEG_seed42_empirical_size_matched_random_0005,empirical_size_matched_random,"AT1G03780,AT1G05890,AT1G18335,AT1G63480,AT2G03190,AT2G03290,AT2G13450,AT2G19630,AT2G23960,AT2G27313,AT2G41450,AT3G05725,AT3G17750,AT3G24170,AT4G08630,AT5G16760,AT5G35945,AT5G38740,AT5G46360,AT5G55380,AT5G61430,AT5G64100,AT5G64290,AT5G64687",24,24,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.125,ath01100
TRAIN_NEG_seed42_empirical_size_matched_random_0006,empirical_size_matched_random,"AT2G14830,AT2G43730,AT3G23000,AT4G25920,AT5G09900,AT5G37410",6,6,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.16666666666666666,ath03050
TRAIN_NEG_seed42_empirical_size_matched_random_0007,empirical_size_matched_random,"AT1G10120,AT1G35170,AT1G47790,AT2G07340,AT2G23090,AT2G44380,AT3G23167,AT3G55850,AT4G29590,AT5G26720,AT5G44420",11,11,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.09090909090909091,ath04016
TRAIN_NEG_seed42_empirical_size_matched_random_0008,empirical_size_matched_random,"AT1G04290,AT1G04820,AT1G05060,AT1G06750,AT1G21360,AT1G22280,AT1G22740,AT1G26255,AT1G30010,AT1G31190,AT1G32760,AT1G45545,AT1G50530,AT1G55820,AT1G56410,AT1G62610,AT1G62850,AT1G63050,AT1G64900,AT1G69410,AT1G70430,AT1G72710,AT1G77920,AT2G03190,AT2G03390,AT2G04037,AT2G05270,AT2G14560,AT2G19490,AT2G29870,AT2G30300,AT2G30985,AT2G31920,AT2G38400,AT2G39370,AT2G39760,AT2G44260,AT3G06760,AT3G07310,AT3G08790,AT3G11920,AT3G13670,AT3G15760,AT3G16950,AT3G17155,AT3G20555,AT3G22057,AT3G24400,AT3G24575,AT3G27260,AT3G28330,AT3G32420,AT3G47480,AT3G49920,AT3G51640,AT3G53210,AT3G54450,AT3G55420,AT3G61260,AT4G02730,AT4G04402,AT4G08430,AT4G16530,AT4G18203,AT4G19740,AT4G20460,AT4G20630,AT4G21740,AT4G23160,AT4G24190,AT4G28910,AT4G29360,AT4G30700,AT4G32000,AT4G32380,AT4G33980,AT4G34840,AT4G36880,AT5G04238,AT5G06020,AT5G06160,AT5G07380,AT5G11560,AT5G13380,AT5G13980,AT5G17440,AT5G22560,AT5G44840,AT5G45700,AT5G47180,AT5G56500,AT5G59190,AT5G60380,AT5G61260,AT5G65230,AT5G66818",96,96,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,AC_GLYSYN-ALA-PWY
TRAIN_NEG_seed42_empirical_size_matched_random_0009,empirical_size_matched_random,"AT1G09190,AT1G51802,AT1G63730,AT1G80690,AT1G80930,AT2G31480,AT3G19970,AT3G45420,AT4G29870,AT4G34345,AT5G14640,AT5G47910,AT5G49060",13,13,10042,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.15384615384615385,ath04141
