configuration,d,cv_auroc_mean,cv_auroc_se,test_auroc,test_auprc,test_f1,test_precision,test_recall,delta_vs_full
Full model,76,0.983,0.002,0.982,0.971,0.901,0.877,0.926,0.0
-GO freq,6,0.916,0.006,0.932,0.907,0.809,0.762,0.861,-0.05
-Jaccard,72,0.964,0.004,0.967,0.931,0.839,0.81,0.87,-0.015
-Size,74,0.975,0.003,0.978,0.961,0.91,0.886,0.935,-0.004
GO freq only,70,0.952,0.005,0.954,0.903,0.841,0.805,0.88,-0.028
Jaccard only,4,0.89,0.005,0.919,0.871,0.756,0.692,0.833,-0.063
Size only,2,0.411,0.017,0.516,0.347,0.37,0.333,0.417,-0.466
GO + Jaccard,74,0.975,0.003,0.978,0.961,0.91,0.886,0.935,-0.004
GO + Size,72,0.964,0.004,0.967,0.931,0.839,0.81,0.87,-0.015
Jaccard + Size,6,0.916,0.006,0.932,0.907,0.809,0.762,0.861,-0.05
