pathway_id,pathway_name,family,source,n_genes,jaccard_mean
AC_ALACAT2-PWY,L-alanine degradation II (to D-lactate),Degradation/catabolism,AraCyc,8,0.1432545618160188
AC_ALANINE-DEG3-PWY,L-alanine degradation III,Degradation/catabolism,AraCyc,6,0.20271819109431435
AC_ALANINE-SYN2-PWY,L-alanine biosynthesis II,Amino acid metabolism,AraCyc,6,0.20271819109431435
AC_ARGSPECAT-PWY,spermine biosynthesis,Specialized/other biosynthesis,AraCyc,6,0.28177045177045185
AC_ARGSYN-PWY,L-arginine biosynthesis I (via L-ornithine),Amino acid metabolism,AraCyc,13,0.1482605419286772
AC_ARGSYNBSUB-PWY,L-arginine biosynthesis II (acetyl cycle),Amino acid metabolism,AraCyc,13,0.14771069221235927
AC_ARO-PWY,chorismate biosynthesis I,Specialized/other biosynthesis,AraCyc,10,0.2883485650152317
AC_ASPARAGINE-DEG1-PWY,L-asparagine degradation I,Degradation/catabolism,AraCyc,5,0.1491504329004329
AC_ASPARAGINE-DEG1-PWY-1,L-asparagine degradation III (mammalian),Degradation/catabolism,AraCyc,15,0.12641353872937608
AC_ASPARTATE-DEG1-PWY,L-aspartate degradation I,Degradation/catabolism,AraCyc,9,0.24573452279780458
AC_ASPARTATESYN-PWY,L-aspartate biosynthesis,Amino acid metabolism,AraCyc,9,0.24573452279780458
AC_ASPASN-ARA-PWY,superpathway of aspartate and asparagine biosynthesis,Amino acid metabolism,AraCyc,18,0.1028011836927392
AC_BRANCHED-CHAIN-AA-SYN-PWY,superpathway of branched chain amino acid biosynthesis,Amino acid metabolism,AraCyc,21,0.15626758001478214
AC_BSUBPOLYAMSYN-PWY,spermidine biosynthesis I,Specialized/other biosynthesis,AraCyc,7,0.311130932559504
AC_CALVIN-PWY,Calvin-Benson-Bassham cycle,Energy metabolism,AraCyc,35,0.15892596599588815
AC_CAMALEXIN-SYN,camalexin biosynthesis,Specialized/other biosynthesis,AraCyc,31,0.20503739994341497
AC_CHLOROPHYLL-SYN,"3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)",Cofactor/vitamin metabolism,AraCyc,10,0.2585284869546995
AC_CITRULBIO-PWY,L-citrulline biosynthesis,Specialized/other biosynthesis,AraCyc,43,0.05302736853095506
AC_COA-PWY,coenzyme A biosynthesis I (bacteria),Specialized/other biosynthesis,AraCyc,6,0.22059644059644062
AC_COMPLETE-ARO-ARA-PWY,"superpathway of phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,AraCyc,32,0.25116559055634685
AC_CYANCAT-PWY,cyanate degradation,Degradation/catabolism,AraCyc,16,0.3519965023111476
AC_CYSTSYN-PWY,L-cysteine biosynthesis I,Amino acid metabolism,AraCyc,13,0.25100419274567887
AC_DETOX1-PWY,superoxide radicals degradation,Degradation/catabolism,AraCyc,11,0.18106614521988026
AC_DETOX1-PWY-1,reactive oxygen species degradation,Degradation/catabolism,AraCyc,20,0.14030478820414422
AC_DTDPRHAMSYN-PWY,dTDP-beta-L-rhamnose biosynthesis,Specialized/other biosynthesis,AraCyc,7,0.227589920287457
AC_ETHYL-PWY,ethene biosynthesis I (plants),Specialized/other biosynthesis,AraCyc,23,0.2238443744638172
AC_FASYN-ELONG-PWY,fatty acid elongation -- saturated,Lipid metabolism,AraCyc,15,0.0684695090157275
AC_GLUCONEO-PWY,gluconeogenesis I,Carbohydrate metabolism,AraCyc,48,0.09922884005665986
AC_GLUCOSE1PMETAB-PWY,glucose and glucose-1-phosphate degradation,Degradation/catabolism,AraCyc,13,0.23316611065688128
AC_GLUTAMINDEG-PWY,L-glutamine degradation I,Degradation/catabolism,AraCyc,35,0.09086427868493327
AC_GLUTORN-PWY,L-ornithine biosynthesis I,Specialized/other biosynthesis,AraCyc,10,0.14416421889848102
AC_GLYCLEAV-PWY,glycine cleavage,Amino acid metabolism,AraCyc,10,0.1702302993044008
AC_GLYCOLYSIS,glycolysis I (from glucose 6-phosphate),Carbohydrate metabolism,AraCyc,56,0.13040533921314376
AC_GLYOXYLATE-BYPASS,glyoxylate cycle,Other AraCyc,AraCyc,21,0.1592648192395386
AC_GLYSYN-ALA-PWY,glycine biosynthesis III,Amino acid metabolism,AraCyc,5,0.3249498746867168
AC_GLYSYN-PWY,glycine biosynthesis I,Amino acid metabolism,AraCyc,7,0.3679491901173768
AC_GLYSYN2-PWY,glycine biosynthesis,Amino acid metabolism,AraCyc,11,0.2295792146266005
AC_HEME-BIOSYNTHESIS-II,heme b biosynthesis I (aerobic),Cofactor/vitamin metabolism,AraCyc,9,0.2346547559815103
AC_HISTSYN-PWY,L-histidine biosynthesis,Amino acid metabolism,AraCyc,11,0.3119286083400915
AC_HOMOSERSYN-PWY,L-homoserine biosynthesis,Amino acid metabolism,AraCyc,6,0.5443356643356644
AC_ILE-VAL-PWY,superpathway of isoleucine and valine biosynthesis,Amino acid metabolism,AraCyc,7,0.3067283442157007
AC_ILEUDEG-PWY,L-isoleucine degradation I,Degradation/catabolism,AraCyc,9,0.2770543544991331
AC_ILEUSYN-PWY,L-isoleucine biosynthesis I (from threonine),Amino acid metabolism,AraCyc,6,0.36379527249496296
AC_LEU-DEG2-PWY,L-leucine degradation I,Degradation/catabolism,AraCyc,13,0.21447327630528776
AC_LEUSYN-PWY,L-leucine biosynthesis,Amino acid metabolism,AraCyc,18,0.19305952424032766
AC_LIPAS-PWY,triacylglycerol degradation,Degradation/catabolism,AraCyc,44,0.19852676424104995
AC_LIPASYN-PWY,phospholipases,Other AraCyc,AraCyc,59,0.13717237296736556
AC_LYSINE-DEG2-PWY,lysine degradation II,Degradation/catabolism,AraCyc,5,0.12641061694770134
AC_MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS,protein N-glycosylation initial phase (eukaryotic),Specialized/other biosynthesis,AraCyc,14,0.1517027027773634
AC_METHIONINE-DEG1-PWY,L-methionine degradation I (to L-homocysteine),Degradation/catabolism,AraCyc,5,0.29748917748917747
