seed,comparison,n_positive,n_negative,test_auroc,test_auprc,test_f1,test_precision,test_recall,positive_score_median,negative_score_median,negative_score_iqr,positive_size_median,negative_size_median,negative_size_iqr
1,All mixed negatives,108,216,0.500943072702332,0.3438027241557546,0.3598326359832636,0.3282442748091603,0.39814814814814814,0.49042800068855286,0.49042800068855286,0.448-0.539,16.0,16.0,9.0-26.0
1,empirical size matched random,108,54,0.48996913580246915,0.6761343718431063,0.49142857142857144,0.6417910447761194,0.39814814814814814,0.49042800068855286,0.49042800068855286,0.465-0.530,16.0,16.0,11.2-32.0
1,full replacement shuffled,108,54,0.44332990397805205,0.6389071006716096,0.4858757062146893,0.6231884057971014,0.39814814814814814,0.49042800068855286,0.4984324276447296,0.466-0.547,16.0,15.5,11.0-24.5
1,corrupted pathway,108,54,0.4748799725651578,0.6574009771671308,0.49710982658959535,0.6615384615384615,0.39814814814814814,0.49042800068855286,0.49229657649993896,0.462-0.593,16.0,19.0,10.2-35.0
1,cross pathway mixture,108,54,0.5955932784636488,0.7523197103514933,0.5149700598802395,0.7288135593220338,0.39814814814814814,0.49042800068855286,0.46794363856315613,0.446-0.505,16.0,12.0,7.0-20.8
2,All mixed negatives,108,216,0.5228480795610426,0.36628715428811703,0.35071090047393366,0.3592233009708738,0.3425925925925926,0.484225869178772,0.4826861321926117,0.452-0.519,13.5,11.0,6.0-23.0
2,empirical size matched random,108,54,0.5244341563786008,0.6777969562502476,0.4539877300613497,0.6727272727272727,0.3425925925925926,0.484225869178772,0.4794085621833801,0.450-0.540,13.5,12.0,7.2-26.0
2,full replacement shuffled,108,54,0.4515603566529493,0.644929490167895,0.44047619047619047,0.6166666666666667,0.3425925925925926,0.484225869178772,0.4912263751029968,0.455-0.540,13.5,18.0,8.0-31.8
2,corrupted pathway,108,54,0.48894032921810704,0.6879652141303862,0.45121951219512196,0.6607142857142857,0.3425925925925926,0.484225869178772,0.4826861321926117,0.455-0.535,13.5,14.5,7.0-27.0
2,cross pathway mixture,108,54,0.6264574759945131,0.7957792390068222,0.4900662251655629,0.8604651162790697,0.3425925925925926,0.484225869178772,0.4550456404685974,0.449-0.491,13.5,7.5,6.0-11.0
