model,model_group,cv_auroc_mean,cv_auroc_sd,cv_auroc_se,cv_auprc_mean,cv_auprc_sd,cv_auprc_se,test_auroc,test_auprc,test_f1,test_precision,test_recall,seed,negative_multiplier,n_train,n_test,n_go_selected,D
CatBoost,advanced boosting,0.9836960068595332,0.006217102070328179,0.002780372570461697,0.9691256943673787,0.010606102578706086,0.004743193268464524,0.9846536351165981,0.9733334317855455,0.8968609865470852,0.8695652173913043,0.9259259259259259,42,2,1293,324,70,76
XGBoost,advanced boosting,0.9831529748557447,0.00446389774648087,0.0019963157611478694,0.9670916865812538,0.008556703688596897,0.0038266742222051705,0.9824674211248285,0.9705058014660373,0.9009009009009009,0.8771929824561403,0.9259259259259259,42,2,1293,324,70,76
LightGBM,advanced boosting,0.9816642443994008,0.006279463174718533,0.0028082613041754555,0.9637844661508008,0.013555274299122289,0.006062102957298651,0.9821673525377229,0.9690247933090572,0.8968609865470852,0.8695652173913043,0.9259259259259259,42,2,1293,324,70,76
Gradient Boosting,boosting,0.9806479755382987,0.005752560792823217,0.0025726233954905596,0.9637884966976886,0.011348630394165,0.005075261802574634,0.9803669410150893,0.9669220686099841,0.905829596412556,0.8782608695652174,0.9351851851851852,42,2,1293,324,70,76
RBF SVM,kernel,0.9685283269262369,0.009696302924408205,0.00433631849388135,0.9350923824170986,0.0198401511671669,0.008872785338731395,0.9801526063100137,0.9636558606993716,0.869198312236287,0.7984496124031008,0.9537037037037037,42,2,1293,324,70,76
Random Forest,ensemble,0.9737016121031292,0.010575800562189206,0.0047296417947071115,0.945675334815065,0.023322403745229165,0.01043009603460562,0.9776663237311385,0.9543693634088369,0.8859649122807017,0.8416666666666667,0.9351851851851852,42,2,1293,324,70,76
Extra Trees,ensemble,0.9641190342236072,0.0072303451463363935,0.003233508649598768,0.9280962449609899,0.015049200672475185,0.0067302071421380125,0.9736368312757202,0.9486399740259597,0.8286852589641435,0.7272727272727273,0.9629629629629629,42,2,1293,324,70,76
Logistic Regression,linear,0.9596142387560679,0.0040515007109662715,0.001811886200121862,0.9384042849061103,0.0067042728988872275,0.0029982419883242827,0.9732938957475994,0.9573613557890637,0.8828828828828829,0.8596491228070176,0.9074074074074074,42,2,1293,324,70,76
Linear SVM,kernel,0.9592037801598956,0.004798267626458115,0.0021458505173993824,0.9388779937904695,0.004527205211759017,0.0020246277203168983,0.9669495884773662,0.9475000377485548,0.8584474885844748,0.8468468468468469,0.8703703703703703,42,2,1293,324,70,76
AdaBoost,boosting,0.9662546588938514,0.005040781662850496,0.002254306091573627,0.9341924960620108,0.005364871835984703,0.0023992436231671794,0.966585219478738,0.9389216596228885,0.8411214953271028,0.8490566037735849,0.8333333333333334,42,2,1293,324,70,76
kNN,instance,0.9279797651388918,0.013008163916572267,0.005817427755983098,0.8480414546959747,0.022162710297894406,0.0099114653583453,0.9516889574759946,0.9060800117525689,0.8093023255813954,0.8130841121495327,0.8055555555555556,42,2,1293,324,70,76
Decision Tree,tree,0.909410355611185,0.015251873554662855,0.006820845210491499,0.8362194827126661,0.03213434054163909,0.014370913972646483,0.9227752057613169,0.8733306278694206,0.8571428571428571,0.8275862068965517,0.8888888888888888,42,2,1293,324,70,76
Gaussian NB,probabilistic,0.8590973446726057,0.025062265241515294,0.011208185750031676,0.7260998208419844,0.04343526200052595,0.019424839690737904,0.876886145404664,0.7181351275687383,0.7162790697674418,0.719626168224299,0.7129629629629629,42,2,1293,324,70,76
