model,model_group,cv_auroc_mean,cv_auroc_sd,cv_auroc_se,cv_auprc_mean,cv_auprc_sd,cv_auprc_se,test_auroc,test_auprc,test_f1,test_precision,test_recall,seed,negative_ratio,negative_multiplier,n_train,n_test,n_go_selected,D,train_negative_to_positive
XGBoost,advanced boosting,,,,,,,0.9823388203017832,0.9790488778195844,0.9483568075117371,0.9619047619047619,0.9351851851851852,1,1:1,1,862,216,41,47,1.0
XGBoost,advanced boosting,,,,,,,0.9717935528120714,0.9738352185056395,0.9216589861751152,0.9174311926605505,0.9259259259259259,2,1:1,1,862,216,45,51,1.0
XGBoost,advanced boosting,,,,,,,0.977366255144033,0.9745827940509357,0.9363636363636364,0.9196428571428571,0.9537037037037037,3,1:1,1,862,216,40,46,1.0
XGBoost,advanced boosting,,,,,,,0.9840534979423868,0.9759061384844439,0.9383886255924171,0.9611650485436893,0.9166666666666666,4,1:1,1,862,216,43,49,1.0
XGBoost,advanced boosting,,,,,,,0.9683641975308642,0.967466430764946,0.9363636363636364,0.9196428571428571,0.9537037037037037,5,1:1,1,862,216,43,49,1.0
XGBoost,advanced boosting,,,,,,,0.9752229080932784,0.9283793400633191,0.9216589861751152,0.9174311926605505,0.9259259259259259,1,1:2,2,1293,324,45,51,2.0
XGBoost,advanced boosting,,,,,,,0.9724794238683128,0.9473260433575357,0.9009009009009009,0.8771929824561403,0.9259259259259259,2,1:2,2,1293,324,41,47,2.0
XGBoost,advanced boosting,,,,,,,0.9804955418381345,0.9558944199953905,0.9074074074074074,0.9074074074074074,0.9074074074074074,3,1:2,2,1293,324,38,44,2.0
XGBoost,advanced boosting,,,,,,,0.9836676954732511,0.9489919707075154,0.9023255813953488,0.9065420560747663,0.8981481481481481,4,1:2,2,1293,324,38,44,2.0
XGBoost,advanced boosting,,,,,,,0.9813100137174211,0.9600254754261849,0.9406392694063926,0.9279279279279279,0.9537037037037037,5,1:2,2,1293,324,40,46,2.0
XGBoost,advanced boosting,,,,,,,0.9835390946502057,0.9422503149131668,0.8918918918918919,0.868421052631579,0.9166666666666666,1,1:3,3,1724,432,41,47,3.0
XGBoost,advanced boosting,,,,,,,0.9755372656607224,0.9359912888659666,0.8596491228070176,0.8166666666666667,0.9074074074074074,2,1:3,3,1724,432,40,46,3.0
XGBoost,advanced boosting,,,,,,,0.98559670781893,0.9522721658785173,0.905829596412556,0.8782608695652174,0.9351851851851852,3,1:3,3,1724,432,41,47,3.0
XGBoost,advanced boosting,,,,,,,0.9869684499314129,0.9569355427933094,0.8990825688073395,0.8909090909090909,0.9074074074074074,4,1:3,3,1724,432,40,46,3.0
XGBoost,advanced boosting,,,,,,,0.9886831275720165,0.9756988956426285,0.918918918918919,0.8947368421052632,0.9444444444444444,5,1:3,3,1724,432,41,47,3.0
XGBoost,advanced boosting,,,,,,,0.9804741083676269,0.9130321934375021,0.8711111111111111,0.8376068376068376,0.9074074074074074,1,1:4,4,2155,540,37,43,4.0
XGBoost,advanced boosting,,,,,,,0.9752657750342933,0.9224053493110445,0.8392857142857143,0.8103448275862069,0.8703703703703703,2,1:4,4,2155,540,39,45,4.0
XGBoost,advanced boosting,,,,,,,0.98559670781893,0.9426367470602065,0.9,0.8839285714285714,0.9166666666666666,3,1:4,4,2155,540,40,46,4.0
XGBoost,advanced boosting,,,,,,,0.987525720164609,0.9567767530326023,0.9,0.8839285714285714,0.9166666666666666,4,1:4,4,2155,540,38,44,4.0
XGBoost,advanced boosting,,,,,,,0.9883401920438958,0.9620838715786533,0.9090909090909091,0.8928571428571429,0.9259259259259259,5,1:4,4,2155,540,37,43,4.0
XGBoost,advanced boosting,,,,,,,0.9799211248285322,0.9028595343713347,0.8370044052863436,0.7983193277310925,0.8796296296296297,1,1:5,5,2586,648,38,44,5.0
XGBoost,advanced boosting,,,,,,,0.9787208504801097,0.9219712288598695,0.831858407079646,0.7966101694915254,0.8703703703703703,2,1:5,5,2586,648,38,44,5.0
XGBoost,advanced boosting,,,,,,,0.9862482853223594,0.9307933248860961,0.8839285714285714,0.853448275862069,0.9166666666666666,3,1:5,5,2586,648,39,45,5.0
XGBoost,advanced boosting,,,,,,,0.9906207133058984,0.9552030219220602,0.9023255813953488,0.9065420560747663,0.8981481481481481,4,1:5,5,2586,648,39,45,5.0
XGBoost,advanced boosting,,,,,,,0.9866941015089163,0.9520169626569338,0.8547008547008547,0.7936507936507936,0.9259259259259259,5,1:5,5,2586,648,36,42,5.0
