feature,mean_abs_shap,pct_total
jaccard_mean,2.4228728,24.62248
pathway_size,1.107913,11.259183
GO:0008150,0.6854451,6.965846
GO:0009507,0.39693928,4.033901
GO:0005829,0.37683117,3.8295522
GO:0003729,0.35197324,3.5769331
GO:0003700,0.34380367,3.4939098
GO:0005737,0.27980778,2.8435507
log_size,0.25659657,2.6076663
GO:0004672,0.2509094,2.5498703
GO:0006355,0.25059634,2.546689
GO:0016020,0.21105035,2.1448023
GO:0005886,0.20711951,2.104855
GO:0005975,0.18853131,1.9159522
GO:0009570,0.1782808,1.8117813
jaccard_std,0.1720548,1.7485093
GO:0005739,0.16097414,1.6359022
GO:0003723,0.1249108,1.2694079
GO:0009941,0.1149134,1.1678091
GO:0005524,0.111498676,1.133107
GO:0003677,0.10486061,1.0656475
GO:0005515,0.09286451,0.94373703
GO:0005789,0.087848976,0.8927666
GO:0005575,0.0870542,0.88468957
GO:0009536,0.08570577,0.87098616
jaccard_max,0.08290357,0.8425088
GO:0005794,0.071401894,0.7256228
GO:0016491,0.07054894,0.7169546
GO:0005507,0.0681368,0.6924412
GO:0009737,0.060547665,0.6153165
GO:0005856,0.058879387,0.5983626
GO:0000325,0.05825969,0.592065
GO:0003676,0.057335977,0.5826777
GO:0004674,0.05331137,0.5417776
GO:0000139,0.05189089,0.52734196
GO:0005576,0.047429584,0.48200387
GO:0006096,0.044267595,0.4498701
GO:0050660,0.039160464,0.3979688
GO:0005777,0.03422253,0.34778696
GO:0008270,0.03328409,0.33825007
GO:0016567,0.02986639,0.30351764
GO:0006952,0.02739226,0.27837425
GO:0030170,0.027211433,0.27653658
GO:0009505,0.02666262,0.27095926
GO:0009651,0.02512935,0.25537738
GO:0005506,0.023331912,0.23711091
GO:0009409,0.02054557,0.20879465
GO:0106310,0.019587414,0.1990574
jaccard_min,0.019157603,0.19468944
GO:0003924,0.01738877,0.17671365
GO:0071456,0.016027398,0.16287868
GO:0016301,0.015439744,0.15690663
GO:0046872,0.0153845325,0.15634555
GO:0055085,0.014657177,0.14895378
GO:0003824,0.013680133,0.13902456
GO:0009579,0.013310725,0.13527043
GO:0005759,0.007569235,0.07692246
GO:0000976,0.0067506256,0.06860334
GO:0006520,0.005116085,0.051992286
GO:0004497,0.004762219,0.048396118
GO:0020037,0.0037199035,0.037803575
GO:0016705,0.0023757687,0.024143785
GO:0016887,0.0018510419,0.01881124
GO:0009725,0.00022966194,0.0023339428
GO:0009851,0.0,0.0
GO:0003735,0.0,0.0
GO:0006511,0.0,0.0
GO:0035556,0.0,0.0
GO:0005802,0.0,0.0
GO:0006351,0.0,0.0
GO:0019761,0.0,0.0
GO:0016114,0.0,0.0
GO:0016757,0.0,0.0
GO:0008168,0.0,0.0
GO:0005768,0.0,0.0
GO:0140359,0.0,0.0
