configuration,d,cv_auroc_mean,cv_auroc_se,test_auroc,test_auprc,test_f1,test_precision,test_recall,delta_vs_full
Full model,76,0.9831529748557447,0.0019963157611478694,0.9824674211248285,0.9705058014660373,0.9009009009009009,0.8771929824561403,0.9259259259259259,0.0
-GO freq,6,0.9162715282551673,0.00569193467924452,0.9319701646090535,0.9067168361424776,0.808695652173913,0.7622950819672131,0.8611111111111112,-0.05049725651577508
-Jaccard,72,0.963500898818903,0.004001403212786986,0.9674639917695473,0.9308714312175828,0.8392857142857143,0.8103448275862069,0.8703703703703703,-0.015003429355281206
-Size,74,0.9752931433881968,0.0034073366628261477,0.978395061728395,0.9607564597982426,0.9099099099099099,0.8859649122807017,0.9351851851851852,-0.004072359396433578
GO freq only,70,0.9523325084473022,0.005396925033288243,0.9542181069958848,0.9025935027123045,0.8407079646017699,0.8050847457627118,0.8796296296296297,-0.028249314128943714
Jaccard only,4,0.8895728513499389,0.004765664459289306,0.9193672839506173,0.8706548841795422,0.7563025210084033,0.6923076923076923,0.8333333333333334,-0.06310013717421126
Size only,2,0.4108466880534792,0.016594179218581046,0.5164394718792866,0.3472800612450531,0.37037037037037035,0.3333333333333333,0.4166666666666667,-0.4660279492455419
GO + Jaccard,74,0.9752931433881968,0.0034073366628261477,0.978395061728395,0.9607564597982426,0.9099099099099099,0.8859649122807017,0.9351851851851852,-0.004072359396433578
GO + Size,72,0.963500898818903,0.004001403212786986,0.9674639917695473,0.9308714312175828,0.8392857142857143,0.8103448275862069,0.8703703703703703,-0.015003429355281206
Jaccard + Size,6,0.9162715282551673,0.00569193467924452,0.9319701646090535,0.9067168361424776,0.808695652173913,0.7622950819672131,0.8611111111111112,-0.05049725651577508
