family,n_heldout_pathways,n_test_negatives,n_train_pathways,n_go_selected,D,median_size,median_jaccard,test_auroc,test_auprc,f1,precision,recall,positive_score_median,negative_score_median
Cofactor/vitamin metabolism,29,58,510,41,47,15.0,0.13768938189106258,0.9571938168846611,0.8928802341816184,0.8,0.8461538461538461,0.7586206896551724,0.817110002040863,0.056708164513111115
Carbohydrate metabolism,31,62,508,37,43,30.0,0.1422329545679787,0.9568158168574401,0.9131254140957277,0.8888888888888888,0.875,0.9032258064516129,0.8321587443351746,0.06880078464746475
Other AraCyc,47,94,492,40,46,12.0,0.21656505715047789,0.9560887279311906,0.9352350092012023,0.8349514563106796,0.7678571428571429,0.9148936170212766,0.8937578201293945,0.06798849254846573
Amino acid metabolism,60,120,479,37,43,18.0,0.17508781169962223,0.9444444444444444,0.8987100107586563,0.7727272727272727,0.7083333333333334,0.85,0.9309938549995422,0.051145002245903015
Specialized/other biosynthesis,160,320,379,40,46,12.0,0.2174034314281567,0.93748046875,0.8667564906356283,0.7927927927927928,0.7630057803468208,0.825,0.83912193775177,0.09229306131601334
Lipid metabolism,50,100,489,35,41,14.0,0.17369989535918293,0.9314,0.8504598988236793,0.7920792079207921,0.7843137254901961,0.8,0.8476876020431519,0.08015844225883484
Energy metabolism,15,30,524,36,42,39.0,0.13895850299384843,0.9266666666666667,0.8927417027417026,0.7741935483870968,0.75,0.8,0.8891553282737732,0.04794003441929817
Degradation/catabolism,76,152,463,41,47,11.0,0.1655613400098443,0.9032202216066482,0.8180816238926104,0.7631578947368421,0.7631578947368421,0.7631578947368421,0.797531247138977,0.05989459902048111
Other KEGG/cellular,58,116,481,40,46,62.0,0.131898948943775,0.8940249702734839,0.7730756503339052,0.7142857142857143,0.7407407407407407,0.6896551724137931,0.718063235282898,0.09518309682607651
Signalling/regulatory,13,26,526,37,43,27.0,0.14660421729110715,0.8609467455621301,0.7281306366049627,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8195003271102905,0.11616569757461548
